mode,escape_rate,n_total,n_evaluable,n_missing,pass_count,block_count,review_count,pass_rate,block_rate,review_rate,block_share_among_alerts
Scanner,0.315,250,250,0,103,147,0,0.412,0.588,0.0,1.0
LLM_Baseline,0.165,250,250,0,80,170,0,0.32,0.68,0.0,1.0
LLM_Guardrails,0.005,250,250,0,25,150,75,0.1,0.6,0.3,0.6667
