mode,slice_name,slice_value,n,total_evaluated,TP,FP,TN,FN,skipped,precision,recall,f1,specificity,accuracy
Guardrails_Alert,by_neg_type,NEG_DECOY,25,25,0,25,0,0,0,0.0,0.0,0.0,0.0,0.0
Guardrails_Autonomous,by_neg_type,NEG_DECOY,25,25,0,5,20,0,0,0.0,0.0,0.0,0.8,0.8
Scanner,by_neg_type,POS,200,200,137,0,0,63,0,1.0,0.685,0.8131,0.0,0.685
LLM_Baseline,by_neg_type,POS,200,200,167,0,0,33,0,1.0,0.835,0.9101,0.0,0.835
Guardrails_Alert,by_neg_type,POS,200,200,199,0,0,1,0,1.0,0.995,0.9975,0.0,0.995
Guardrails_Autonomous,by_neg_type,POS,200,200,145,0,0,55,0,1.0,0.725,0.8406,0.0,0.725
Scanner,by_origin,NEG,100,100,11,10,40,39,0,0.5238,0.22,0.3099,0.8,0.51
LLM_Baseline,by_origin,NEG,100,100,17,3,47,33,0,0.85,0.34,0.4857,0.94,0.64
Guardrails_Alert,by_origin,NEG,100,100,49,26,24,1,0,0.6533,0.98,0.784,0.48,0.73
Guardrails_Autonomous,by_origin,NEG,100,100,16,5,45,34,0,0.7619,0.32,0.4507,0.9,0.61
Scanner,by_origin,REAL,75,75,60,0,0,15,0,1.0,0.8,0.8889,0.0,0.8
LLM_Baseline,by_origin,REAL,75,75,75,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Alert,by_origin,REAL,75,75,75,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_origin,REAL,75,75,68,0,0,7,0,1.0,0.9067,0.951,0.0,0.9067
Scanner,by_origin,SYNTH,75,75,66,0,0,9,0,1.0,0.88,0.9362,0.0,0.88
LLM_Baseline,by_origin,SYNTH,75,75,75,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Alert,by_origin,SYNTH,75,75,75,0,0,0,0,1.0,1.0,1.0,0.0,1.0
