mode,total_evaluated,TP,FP,TN,FN,skipped,precision,recall,f1,specificity,accuracy,description
Scanner,250,137,10,40,63,0,0.932,0.685,0.7896,0.8,0.708,Gitleaks + detect-secrets combined (scanner_hit)
LLM_Baseline,250,167,3,47,33,0,0.9824,0.835,0.9027,0.94,0.856,LLM without guardrails (llm_baseline_hit)
Guardrails_Alert,250,199,26,24,1,0,0.8844,0.995,0.9365,0.48,0.892,"LLM + Guardrails, alert-level: BLOCK or REVIEW = detection"
Guardrails_Autonomous,250,145,5,45,55,0,0.9667,0.725,0.8286,0.9,0.76,"LLM + Guardrails, autonomous: BLOCK only = detection"
