comparison,delta_pass_rate_vs_baseline,delta_block_rate_vs_baseline,delta_review_rate_vs_baseline,delta_escape_rate_vs_baseline,delta_block_share_among_alerts_vs_baseline
Scanner_vs_Baseline,0.19,-0.145,-0.045,0.16,0.0517
LLM_Guardrails_vs_Baseline,-0.01,-0.425,0.435,0.0,-0.4938
