mode,escape_rate,n_total,n_evaluable,n_missing,pass_count,block_count,review_count,pass_rate,block_rate,review_rate,block_share_among_alerts
Scanner,0.16,200,200,0,64,136,0,0.32,0.68,0.0,1.0
LLM_Baseline,0.0,200,200,0,26,165,9,0.13,0.825,0.045,0.9483
LLM_Guardrails,0.0,200,200,0,24,80,96,0.12,0.4,0.48,0.4545
