mode,slice_name,slice_value,n,total_evaluated,TP,FP,TN,FN,skipped,precision,recall,f1,specificity,accuracy
LLM_Baseline,by_origin,NEG,100,100,24,24,26,26,0,0.5,0.48,0.4898,0.52,0.5
Guardrails_Alert,by_origin,NEG,100,100,48,26,24,2,0,0.6486,0.96,0.7742,0.48,0.72
Guardrails_Autonomous,by_origin,NEG,100,100,3,0,50,47,0,1.0,0.06,0.1132,1.0,0.53
Scanner,by_origin,REAL,75,75,60,0,0,15,0,1.0,0.8,0.8889,0.0,0.8
LLM_Baseline,by_origin,REAL,75,75,75,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Alert,by_origin,REAL,75,75,75,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_origin,REAL,75,75,54,0,0,21,0,1.0,0.72,0.8372,0.0,0.72
Scanner,by_origin,SYNTH,75,75,66,0,0,9,0,1.0,0.88,0.9362,0.0,0.88
LLM_Baseline,by_origin,SYNTH,75,75,75,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Alert,by_origin,SYNTH,75,75,75,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_origin,SYNTH,75,75,39,0,0,36,0,1.0,0.52,0.6842,0.0,0.52
Scanner,by_failure_mode,FM1/FM3/FM5,4,4,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
LLM_Baseline,by_failure_mode,FM1/FM3/FM5,4,4,4,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Alert,by_failure_mode,FM1/FM3/FM5,4,4,4,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_failure_mode,FM1/FM3/FM5,4,4,1,0,0,3,0,1.0,0.25,0.4,0.0,0.25
Scanner,by_failure_mode,FM2,8,8,8,0,0,0,0,1.0,1.0,1.0,0.0,1.0
LLM_Baseline,by_failure_mode,FM2,8,8,8,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Alert,by_failure_mode,FM2,8,8,8,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_failure_mode,FM2,8,8,0,0,0,8,0,0.0,0.0,0.0,0.0,0.0
Scanner,by_failure_mode,FM4,33,33,10,0,0,23,0,1.0,0.303,0.4651,0.0,0.303
LLM_Baseline,by_failure_mode,FM4,33,33,21,0,0,12,0,1.0,0.6364,0.7778,0.0,0.6364
Guardrails_Alert,by_failure_mode,FM4,33,33,33,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_failure_mode,FM4,33,33,0,0,0,33,0,0.0,0.0,0.0,0.0,0.0
Scanner,by_failure_mode,FM6,10,10,1,0,0,9,0,1.0,0.1,0.1818,0.0,0.1
LLM_Baseline,by_failure_mode,FM6,10,10,10,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Alert,by_failure_mode,FM6,10,10,10,0,0,0,0,1.0,1.0,1.0,0.0,1.0
Guardrails_Autonomous,by_failure_mode,FM6,10,10,1,0,0,9,0,1.0,0.1,0.1818,0.0,0.1
Scanner,by_failure_mode,FM7,25,25,4,0,0,21,0,1.0,0.16,0.2759,0.0,0.16
