mode,escape_rate,recall_alert,recall_auto,delta_recall_alert_vs_auto,precision_alert,precision_auto,delta_precision_alert_vs_auto,review_rate
Scanner,0.315,0.685,0.685,0.0,0.932,0.932,0.0,0.0
LLM_Baseline,0.13,0.87,0.835,0.035,0.8788,0.8789,-0.0001,0.032
LLM_Guardrails,0.01,0.99,0.835,0.155,0.8839,0.893,-0.0091,0.148
