failure_mode,mapped_guardrail,n_baseline_evaluable,prevalence_count,prevalence_rate,intervention_count,intervention_rate_given_prevalence,residual_count,residual_rate_given_prevalence,residual_observability
FM1_evidence_location,G1,250,25,0.1,2,0.08,2,0.08,partial
FM2_untrusted_input,G2,250,0,0.0,,,,,n/a
FM3_secret_leakage,G3,250,131,0.524,130,0.9924,0,0.0,direct
FM4_uncertainty_miscalibration,G4,250,73,0.292,66,0.9041,65,0.8904,partial
FM5_schema_output_failure,G5,250,3,0.012,3,1.0,,,not_robustly_observable
FM6_format_familiarity,G6,250,30,0.12,30,1.0,2,0.0667,direct
