guardrail,trigger_count,trigger_rate,routed_count,routed_rate
G5,0,0.0,0,0.0
G2,10,0.04,10,0.04
G4,104,0.416,101,0.404
G1,6,0.024,2,0.008
G3,226,0.904,15,0.06
