comparison,delta_pass_rate_vs_baseline,delta_block_rate_vs_baseline,delta_review_rate_vs_baseline,delta_escape_rate_vs_baseline,delta_block_share_among_alerts_vs_baseline
Scanner_vs_Baseline,0.204,-0.172,-0.032,0.185,0.0404
LLM_Guardrails_vs_Baseline,-0.104,-0.012,0.116,-0.12,-0.1248
