mode,escape_rate,n_total,n_evaluable,n_missing,pass_rate,block_rate,review_rate
Scanner,0.315,250,250,0,0.412,0.588,0.0
LLM_Baseline,0.13,250,250,0,0.208,0.76,0.032
LLM_Guardrails,0.01,250,250,0,0.104,0.384,0.512
